price,date,hour,day,month,year
230.06,09-01-2016,14,09,01,2016
241.91,09-01-2016,15,09,01,2016
275.61,09-01-2016,16,09,01,2016
334.21,09-01-2016,17,09,01,2016
258.02,09-01-2016,18,09,01,2016
228.02,09-01-2016,19,09,01,2016
214.14,09-01-2016,20,09,01,2016
208.95,09-01-2016,21,09,01,2016
204.32,09-01-2016,22,09,01,2016
196.83,09-01-2016,23,09,01,2016
197.66,10-01-2016,00,10,01,2016
184.78,10-01-2016,01,10,01,2016
182.18,10-01-2016,02,10,01,2016
180.14,10-01-2016,03,10,01,2016
178.47,10-01-2016,04,10,01,2016
179.77,10-01-2016,05,10,01,2016
179.21,10-01-2016,06,10,01,2016
181.44,10-01-2016,07,10,01,2016
180.7,10-01-2016,08,10,01,2016
186.82,10-01-2016,09,10,01,2016
194.23,10-01-2016,10,10,01,2016
200.17,10-01-2016,11,10,01,2016
202.39,10-01-2016,12,10,01,2016
197.76,10-01-2016,13,10,01,2016
196.74,10-01-2016,14,10,01,2016
203.78,10-01-2016,15,10,01,2016
221.77,10-01-2016,16,10,01,2016
238.83,10-01-2016,17,10,01,2016
231.04,10-01-2016,18,10,01,2016
225.66,10-01-2016,19,10,01,2016
220.56,10-01-2016,20,10,01,2016
213.61,10-01-2016,21,10,01,2016
207.12,10-01-2016,22,10,01,2016
201.09,10-01-2016,23,10,01,2016
198.13,11-01-2016,00,11,01,2016
185.8,11-01-2016,01,11,01,2016
183.39,11-01-2016,02,11,01,2016
179.49,11-01-2016,03,11,01,2016
182.46,11-01-2016,04,11,01,2016
199.89,11-01-2016,05,11,01,2016
224.74,11-01-2016,06,11,01,2016
376.6,11-01-2016,07,11,01,2016
425.83,11-01-2016,08,11,01,2016
407.94,11-01-2016,09,11,01,2016
388.84,11-01-2016,10,11,01,2016
379.75,11-01-2016,11,11,01,2016
383.0,11-01-2016,12,11,01,2016
380.96,11-01-2016,13,11,01,2016
360.84,11-01-2016,14,11,01,2016
347.67,11-01-2016,15,11,01,2016
351.85,11-01-2016,16,11,01,2016
414.33,11-01-2016,17,11,01,2016
397.55,11-01-2016,18,11,01,2016
361.95,11-01-2016,19,11,01,2016
299.46,11-01-2016,20,11,01,2016
235.95,11-01-2016,21,11,01,2016
213.7,11-01-2016,22,11,01,2016
201.0,11-01-2016,23,11,01,2016
195.77,12-01-2016,00,12,01,2016
183.72,12-01-2016,01,12,01,2016
177.13,12-01-2016,02,12,01,2016
170.73,12-01-2016,03,12,01,2016
176.21,12-01-2016,04,12,01,2016
193.92,12-01-2016,05,12,01,2016
212.65,12-01-2016,06,12,01,2016
325.15,12-01-2016,07,12,01,2016
366.6,12-01-2016,08,12,01,2016
380.23,12-01-2016,09,12,01,2016
358.53,12-01-2016,10,12,01,2016
338.13,12-01-2016,11,12,01,2016
324.59,12-01-2016,12,12,01,2016
308.82,12-01-2016,13,12,01,2016
298.72,12-01-2016,14,12,01,2016
306.04,12-01-2016,15,12,01,2016
438.29,12-01-2016,16,12,01,2016
519.07,12-01-2016,17,12,01,2016
374.02,12-01-2016,18,12,01,2016
275.35,12-01-2016,19,12,01,2016
241.59,12-01-2016,20,12,01,2016
229.62,12-01-2016,21,12,01,2016
216.08,12-01-2016,22,12,01,2016
199.48,12-01-2016,23,12,01,2016
194.38,13-01-2016,00,13,01,2016
181.97,13-01-2016,01,13,01,2016
173.27,13-01-2016,02,13,01,2016
172.72,13-01-2016,03,13,01,2016
178.73,13-01-2016,04,13,01,2016
197.52,13-01-2016,05,13,01,2016
217.7,13-01-2016,06,13,01,2016
254.54,13-01-2016,07,13,01,2016
280.92,13-01-2016,08,13,01,2016
284.44,13-01-2016,09,13,01,2016
291.1,13-01-2016,10,13,01,2016
310.63,13-01-2016,11,13,01,2016
314.61,13-01-2016,12,13,01,2016
315.54,13-01-2016,13,13,01,2016
314.89,13-01-2016,14,13,01,2016
403.1,13-01-2016,15,13,01,2016
760.84,13-01-2016,16,13,01,2016
924.95,13-01-2016,17,13,01,2016
554.62,13-01-2016,18,13,01,2016
359.69,13-01-2016,19,13,01,2016
274.16,13-01-2016,20,13,01,2016
249.63,13-01-2016,21,13,01,2016
235.29,13-01-2016,22,13,01,2016
212.43,13-01-2016,23,13,01,2016
217.76,14-01-2016,00,14,01,2016
209.15,14-01-2016,01,14,01,2016
205.81,14-01-2016,02,14,01,2016
204.05,14-01-2016,03,14,01,2016
208.68,14-01-2016,04,14,01,2016
221.37,14-01-2016,05,14,01,2016
271.11,14-01-2016,06,14,01,2016
647.54,14-01-2016,07,14,01,2016
820.75,14-01-2016,08,14,01,2016
648.19,14-01-2016,09,14,01,2016
459.42,14-01-2016,10,14,01,2016
463.68,14-01-2016,11,14,01,2016
547.23,14-01-2016,12,14,01,2016
618.09,14-01-2016,13,14,01,2016
563.25,14-01-2016,14,14,01,2016
613.08,14-01-2016,15,14,01,2016
1226.82,14-01-2016,16,14,01,2016
1435.04,14-01-2016,17,14,01,2016
1118.54,14-01-2016,18,14,01,2016
575.11,14-01-2016,19,14,01,2016
363.83,14-01-2016,20,14,01,2016
292.79,14-01-2016,21,14,01,2016
254.63,14-01-2016,22,14,01,2016
232.58,14-01-2016,23,14,01,2016
228.86,15-01-2016,00,15,01,2016
223.84,15-01-2016,01,15,01,2016
216.76,15-01-2016,02,15,01,2016
213.59,15-01-2016,03,15,01,2016
213.59,15-01-2016,04,15,01,2016
215.74,15-01-2016,05,15,01,2016
245.34,15-01-2016,06,15,01,2016
1116.58,15-01-2016,07,15,01,2016
1251.68,15-01-2016,08,15,01,2016
1396.74,15-01-2016,09,15,01,2016
540.04,15-01-2016,10,15,01,2016
518.25,15-01-2016,11,15,01,2016
536.97,15-01-2016,12,15,01,2016
527.28,15-01-2016,13,15,01,2016
442.83,15-01-2016,14,15,01,2016
450.75,15-01-2016,15,15,01,2016
945.72,15-01-2016,16,15,01,2016
1396.18,15-01-2016,17,15,01,2016
838.73,15-01-2016,18,15,01,2016
423.0,15-01-2016,19,15,01,2016
313.69,15-01-2016,20,15,01,2016
273.18,15-01-2016,21,15,01,2016
252.98,15-01-2016,22,15,01,2016
232.4,15-01-2016,23,15,01,2016
247.1,16-01-2016,00,16,01,2016
239.73,16-01-2016,01,16,01,2016
231.71,16-01-2016,02,16,01,2016
227.04,16-01-2016,03,16,01,2016
224.15,16-01-2016,04,16,01,2016
230.49,16-01-2016,05,16,01,2016
225.55,16-01-2016,06,16,01,2016
227.88,16-01-2016,07,16,01,2016
247.94,16-01-2016,08,16,01,2016
295.04,16-01-2016,09,16,01,2016
311.46,16-01-2016,10,16,01,2016
309.97,16-01-2016,11,16,01,2016
272.0,16-01-2016,12,16,01,2016
245.42,16-01-2016,13,16,01,2016
237.58,16-01-2016,14,16,01,2016
238.8,16-01-2016,15,16,01,2016
281.24,16-01-2016,16,16,01,2016
380.12,16-01-2016,17,16,01,2016
379.93,16-01-2016,18,16,01,2016
282.55,16-01-2016,19,16,01,2016
244.21,16-01-2016,20,16,01,2016
233.85,16-01-2016,21,16,01,2016
230.59,16-01-2016,22,16,01,2016
219.58,16-01-2016,23,16,01,2016
204.67,17-01-2016,00,17,01,2016
189.42,17-01-2016,01,17,01,2016
194.19,17-01-2016,02,17,01,2016
196.15,17-01-2016,03,17,01,2016
195.41,17-01-2016,04,17,01,2016
195.87,17-01-2016,05,17,01,2016
188.2,17-01-2016,06,17,01,2016
209.06,17-01-2016,07,17,01,2016
220.01,17-01-2016,08,17,01,2016
229.92,17-01-2016,09,17,01,2016
247.32,17-01-2016,10,17,01,2016
254.99,17-01-2016,11,17,01,2016
242.83,17-01-2016,12,17,01,2016
242.92,17-01-2016,13,17,01,2016
239.09,17-01-2016,14,17,01,2016
247.13,17-01-2016,15,17,01,2016
298.77,17-01-2016,16,17,01,2016
369.39,17-01-2016,17,17,01,2016
400.35,17-01-2016,18,17,01,2016
355.26,17-01-2016,19,17,01,2016
304.01,17-01-2016,20,17,01,2016
246.85,17-01-2016,21,17,01,2016
239.46,17-01-2016,22,17,01,2016
228.14,17-01-2016,23,17,01,2016
224.12,18-01-2016,00,18,01,2016
219.54,18-01-2016,01,18,01,2016
220.38,18-01-2016,02,18,01,2016
219.44,18-01-2016,03,18,01,2016
219.91,18-01-2016,04,18,01,2016
226.83,18-01-2016,05,18,01,2016
252.09,18-01-2016,06,18,01,2016
436.64,18-01-2016,07,18,01,2016
768.34,18-01-2016,08,18,01,2016
503.15,18-01-2016,09,18,01,2016
479.39,18-01-2016,10,18,01,2016
453.11,18-01-2016,11,18,01,2016
438.98,18-01-2016,12,18,01,2016
433.28,18-01-2016,13,18,01,2016
428.04,18-01-2016,14,18,01,2016
463.3,18-01-2016,15,18,01,2016
760.57,18-01-2016,16,18,01,2016
889.19,18-01-2016,17,18,01,2016
592.95,18-01-2016,18,18,01,2016
447.31,18-01-2016,19,18,01,2016
320.28,18-01-2016,20,18,01,2016
248.63,18-01-2016,21,18,01,2016
232.17,18-01-2016,22,18,01,2016
221.97,18-01-2016,23,18,01,2016
229.2,19-01-2016,00,19,01,2016
220.51,19-01-2016,01,19,01,2016
217.89,19-01-2016,02,19,01,2016
222.19,19-01-2016,03,19,01,2016
228.07,19-01-2016,04,19,01,2016
245.64,19-01-2016,05,19,01,2016
298.06,19-01-2016,06,19,01,2016
560.8,19-01-2016,07,19,01,2016
691.98,19-01-2016,08,19,01,2016
625.55,19-01-2016,09,19,01,2016
572.85,19-01-2016,10,19,01,2016
573.97,19-01-2016,11,19,01,2016
551.08,19-01-2016,12,19,01,2016
546.88,19-01-2016,13,19,01,2016
521.46,19-01-2016,14,19,01,2016
692.26,19-01-2016,15,19,01,2016
1248.95,19-01-2016,16,19,01,2016
1714.72,19-01-2016,17,19,01,2016
935.1,19-01-2016,18,19,01,2016
537.81,19-01-2016,19,19,01,2016
450.73,19-01-2016,20,19,01,2016
352.25,19-01-2016,21,19,01,2016
307.03,19-01-2016,22,19,01,2016
271.71,19-01-2016,23,19,01,2016
242.64,20-01-2016,00,20,01,2016
237.99,20-01-2016,01,20,01,2016
240.22,20-01-2016,02,20,01,2016
230.91,20-01-2016,03,20,01,2016
239.94,20-01-2016,04,20,01,2016
247.21,20-01-2016,05,20,01,2016
304.58,20-01-2016,06,20,01,2016
525.71,20-01-2016,07,20,01,2016
652.85,20-01-2016,08,20,01,2016
605.63,20-01-2016,09,20,01,2016
562.78,20-01-2016,10,20,01,2016
535.77,20-01-2016,11,20,01,2016
545.83,20-01-2016,12,20,01,2016
536.33,20-01-2016,13,20,01,2016
511.83,20-01-2016,14,20,01,2016
500.28,20-01-2016,15,20,01,2016
800.12,20-01-2016,16,20,01,2016
1028.41,20-01-2016,17,20,01,2016
754.75,20-01-2016,18,20,01,2016
652.29,20-01-2016,19,20,01,2016
466.66,20-01-2016,20,20,01,2016
373.14,20-01-2016,21,20,01,2016
312.22,20-01-2016,22,20,01,2016
275.99,20-01-2016,23,20,01,2016
277.23,21-01-2016,00,21,01,2016
260.12,21-01-2016,01,21,01,2016
249.18,21-01-2016,02,21,01,2016
252.08,21-01-2016,03,21,01,2016
256.84,21-01-2016,04,21,01,2016
278.72,21-01-2016,05,21,01,2016
390.64,21-01-2016,06,21,01,2016
1869.63,21-01-2016,07,21,01,2016
2003.24,21-01-2016,08,21,01,2016
1870.0,21-01-2016,09,21,01,2016
1216.06,21-01-2016,10,21,01,2016
700.97,21-01-2016,11,21,01,2016
574.0,21-01-2016,12,21,01,2016
552.68,21-01-2016,13,21,01,2016
561.09,21-01-2016,14,21,01,2016
921.91,21-01-2016,15,21,01,2016
1869.72,21-01-2016,16,21,01,2016
1870.84,21-01-2016,17,21,01,2016
1868.78,21-01-2016,18,21,01,2016
576.05,21-01-2016,19,21,01,2016
468.34,21-01-2016,20,21,01,2016
339.78,21-01-2016,21,21,01,2016
283.87,21-01-2016,22,21,01,2016
258.43,21-01-2016,23,21,01,2016
255.5,22-01-2016,00,22,01,2016
254.38,22-01-2016,01,22,01,2016
244.02,22-01-2016,02,22,01,2016
244.76,22-01-2016,03,22,01,2016
251.48,22-01-2016,04,22,01,2016
262.69,22-01-2016,05,22,01,2016
287.7,22-01-2016,06,22,01,2016
750.25,22-01-2016,07,22,01,2016
1120.48,22-01-2016,08,22,01,2016
1119.55,22-01-2016,09,22,01,2016
523.13,22-01-2016,10,22,01,2016
467.68,22-01-2016,11,22,01,2016
402.25,22-01-2016,12,22,01,2016
354.08,22-01-2016,13,22,01,2016
304.6,22-01-2016,14,22,01,2016
304.79,22-01-2016,15,22,01,2016
348.01,22-01-2016,16,22,01,2016
465.91,22-01-2016,17,22,01,2016
289.29,22-01-2016,18,22,01,2016
250.92,22-01-2016,19,22,01,2016
231.97,22-01-2016,20,22,01,2016
223.2,22-01-2016,21,22,01,2016
211.44,22-01-2016,22,22,01,2016
209.38,22-01-2016,23,22,01,2016
203.32,23-01-2016,00,23,01,2016
201.56,23-01-2016,01,23,01,2016
200.54,23-01-2016,02,23,01,2016
201.84,23-01-2016,03,23,01,2016
203.41,23-01-2016,04,23,01,2016
202.95,23-01-2016,05,23,01,2016
198.87,23-01-2016,06,23,01,2016
209.44,23-01-2016,07,23,01,2016
217.04,23-01-2016,08,23,01,2016
226.4,23-01-2016,09,23,01,2016
237.52,23-01-2016,10,23,01,2016
241.04,23-01-2016,11,23,01,2016
239.83,23-01-2016,12,23,01,2016
230.29,23-01-2016,13,23,01,2016
227.14,23-01-2016,14,23,01,2016
227.97,23-01-2016,15,23,01,2016
242.06,23-01-2016,16,23,01,2016
253.27,23-01-2016,17,23,01,2016
245.58,23-01-2016,18,23,01,2016
234.92,23-01-2016,19,23,01,2016
227.32,23-01-2016,20,23,01,2016
215.83,23-01-2016,21,23,01,2016
208.88,23-01-2016,22,23,01,2016
210.46,23-01-2016,23,23,01,2016
201.69,24-01-2016,00,24,01,2016
193.91,24-01-2016,01,24,01,2016
191.78,24-01-2016,02,24,01,2016
190.58,24-01-2016,03,24,01,2016
191.51,24-01-2016,04,24,01,2016
195.21,24-01-2016,05,24,01,2016
193.54,24-01-2016,06,24,01,2016
198.17,24-01-2016,07,24,01,2016
203.92,24-01-2016,08,24,01,2016
203.18,24-01-2016,09,24,01,2016
207.71,24-01-2016,10,24,01,2016
209.57,24-01-2016,11,24,01,2016
208.08,24-01-2016,12,24,01,2016
206.05,24-01-2016,13,24,01,2016
205.58,24-01-2016,14,24,01,2016
209.19,24-01-2016,15,24,01,2016
221.6,24-01-2016,16,24,01,2016
