price,date,hour
285.83,16-01-2018,06
311.2,16-01-2018,07
322.11,16-01-2018,08
324.47,16-01-2018,09
323.69,16-01-2018,10
324.18,16-01-2018,11
323.39,16-01-2018,12
323.49,16-01-2018,13
323.39,16-01-2018,14
332.14,16-01-2018,15
363.21,16-01-2018,16
414.73,16-01-2018,17
435.97,16-01-2018,18
334.21,16-01-2018,19
342.27,16-01-2018,20
301.76,16-01-2018,21
288.88,16-01-2018,22
274.13,16-01-2018,23
276.53,17-01-2018,00
272.7,17-01-2018,01
270.54,17-01-2018,02
269.95,17-01-2018,03
274.27,17-01-2018,04
285.48,17-01-2018,05
309.26,17-01-2018,06
383.65,17-01-2018,07
441.73,17-01-2018,08
417.55,17-01-2018,09
391.9,17-01-2018,10
383.16,17-01-2018,11
341.49,17-01-2018,12
319.77,17-01-2018,13
318.2,17-01-2018,14
325.38,17-01-2018,15
373.82,17-01-2018,16
382.27,17-01-2018,17
377.75,17-01-2018,18
336.68,17-01-2018,19
306.61,17-01-2018,20
300.41,17-01-2018,21
294.03,17-01-2018,22
288.23,17-01-2018,23
286.58,18-01-2018,00
281.46,18-01-2018,01
280.08,18-01-2018,02
278.9,18-01-2018,03
282.93,18-01-2018,04
294.45,18-01-2018,05
307.05,18-01-2018,06
422.48,18-01-2018,07
414.81,18-01-2018,08
413.33,18-01-2018,09
402.6,18-01-2018,10
387.15,18-01-2018,11
368.16,18-01-2018,12
352.51,18-01-2018,13
342.97,18-01-2018,14
361.47,18-01-2018,15
387.35,18-01-2018,16
414.81,18-01-2018,17
413.72,18-01-2018,18
408.31,18-01-2018,19
383.12,18-01-2018,20
337.55,18-01-2018,21
320.53,18-01-2018,22
299.66,18-01-2018,23
294.81,19-01-2018,00
294.52,19-01-2018,01
289.8,19-01-2018,02
290.49,19-01-2018,03
295.01,19-01-2018,04
312.11,19-01-2018,05
384.53,19-01-2018,06
489.88,19-01-2018,07
510.41,19-01-2018,08
494.89,19-01-2018,09
487.22,19-01-2018,10
460.69,19-01-2018,11
422.46,19-01-2018,12
409.49,19-01-2018,13
388.07,19-01-2018,14
410.57,19-01-2018,15
435.34,19-01-2018,16
487.12,19-01-2018,17
488.79,19-01-2018,18
440.15,19-01-2018,19
381.58,19-01-2018,20
363.01,19-01-2018,21
352.2,19-01-2018,22
320.46,19-01-2018,23
302.98,20-01-2018,00
292.07,20-01-2018,01
287.95,20-01-2018,02
285.1,20-01-2018,03
284.8,20-01-2018,04
287.26,20-01-2018,05
291.68,20-01-2018,06
303.18,20-01-2018,07
325.0,20-01-2018,08
364.5,20-01-2018,09
372.95,20-01-2018,10
399.78,20-01-2018,11
364.31,20-01-2018,12
334.23,20-01-2018,13
333.74,20-01-2018,14
375.8,20-01-2018,15
400.96,20-01-2018,16
439.09,20-01-2018,17
473.69,20-01-2018,18
363.32,20-01-2018,19
316.05,20-01-2018,20
320.87,20-01-2018,21
317.82,20-01-2018,22
312.02,20-01-2018,23
311.92,21-01-2018,00
298.95,21-01-2018,01
287.44,21-01-2018,02
282.23,21-01-2018,03
283.12,21-01-2018,04
285.58,21-01-2018,05
289.8,21-01-2018,06
302.29,21-01-2018,07
314.97,21-01-2018,08
338.66,21-01-2018,09
373.07,21-01-2018,10
392.73,21-01-2018,11
389.48,21-01-2018,12
362.35,21-01-2018,13
332.66,21-01-2018,14
340.33,21-01-2018,15
373.95,21-01-2018,16
422.02,21-01-2018,17
472.65,21-01-2018,18
421.93,21-01-2018,19
359.4,21-01-2018,20
319.79,21-01-2018,21
316.35,21-01-2018,22
300.03,21-01-2018,23
287.64,22-01-2018,00
280.96,22-01-2018,01
278.99,22-01-2018,02
280.46,22-01-2018,03
284.49,22-01-2018,04
292.26,22-01-2018,05
326.37,22-01-2018,06
422.22,22-01-2018,07
465.97,22-01-2018,08
451.22,22-01-2018,09
442.18,22-01-2018,10
475.7,22-01-2018,11
462.03,22-01-2018,12
465.87,22-01-2018,13
455.55,22-01-2018,14
431.95,22-01-2018,15
432.44,22-01-2018,16
498.6,22-01-2018,17
501.36,22-01-2018,18
472.36,22-01-2018,19
420.94,22-01-2018,20
383.29,22-01-2018,21
355.86,22-01-2018,22
329.32,22-01-2018,23
328.29,23-01-2018,00
312.16,23-01-2018,01
302.72,23-01-2018,02
298.78,23-01-2018,03
304.59,23-01-2018,04
319.44,23-01-2018,05
383.95,23-01-2018,06
481.22,23-01-2018,07
518.69,23-01-2018,08
499.51,23-01-2018,09
462.63,23-01-2018,10
431.06,23-01-2018,11
393.99,23-01-2018,12
366.65,23-01-2018,13
359.86,23-01-2018,14
359.96,23-01-2018,15
339.7,23-01-2018,16
364.09,23-01-2018,17
324.45,23-01-2018,18
321.5,23-01-2018,19
304.78,23-01-2018,20
291.31,23-01-2018,21
282.46,23-01-2018,22
276.46,23-01-2018,23
267.48,24-01-2018,00
265.12,24-01-2018,01
248.28,24-01-2018,02
252.32,24-01-2018,03
255.17,24-01-2018,04
269.75,24-01-2018,05
283.93,24-01-2018,06
314.56,24-01-2018,07
318.99,24-01-2018,08
313.97,24-01-2018,09
301.07,24-01-2018,10
294.47,24-01-2018,11
293.68,24-01-2018,12
289.54,24-01-2018,13
289.15,24-01-2018,14
289.05,24-01-2018,15
288.85,24-01-2018,16
292.5,24-01-2018,17
288.26,24-01-2018,18
286.0,24-01-2018,19
280.19,24-01-2018,20
277.23,24-01-2018,21
246.6,24-01-2018,22
153.54,24-01-2018,23
214.07,25-01-2018,00
155.93,25-01-2018,01
149.34,25-01-2018,02
175.12,25-01-2018,03
221.55,25-01-2018,04
255.79,25-01-2018,05
276.64,25-01-2018,06
297.11,25-01-2018,07
304.49,25-01-2018,08
304.58,25-01-2018,09
303.6,25-01-2018,10
299.96,25-01-2018,11
297.3,25-01-2018,12
297.99,25-01-2018,13
299.37,25-01-2018,14
303.5,25-01-2018,15
313.14,25-01-2018,16
449.1,25-01-2018,17
437.89,25-01-2018,18
316.19,25-01-2018,19
309.7,25-01-2018,20
302.22,25-01-2018,21
292.29,25-01-2018,22
285.11,25-01-2018,23
287.3,26-01-2018,00
284.45,26-01-2018,01
283.96,26-01-2018,02
285.53,26-01-2018,03
289.94,26-01-2018,04
295.34,26-01-2018,05
382.18,26-01-2018,06
473.04,26-01-2018,07
504.24,26-01-2018,08
522.1,26-01-2018,09
517.29,26-01-2018,10
509.24,26-01-2018,11
480.98,26-01-2018,12
471.17,26-01-2018,13
468.82,26-01-2018,14
462.05,26-01-2018,15
462.05,26-01-2018,16
489.82,26-01-2018,17
517.48,26-01-2018,18
434.48,26-01-2018,19
318.4,26-01-2018,20
309.57,26-01-2018,21
300.74,26-01-2018,22
296.22,26-01-2018,23
302.04,27-01-2018,00
296.35,27-01-2018,01
294.29,27-01-2018,02
294.09,27-01-2018,03
296.45,27-01-2018,04
301.84,27-01-2018,05
301.64,27-01-2018,06
301.64,27-01-2018,07
364.99,27-01-2018,08
392.35,27-01-2018,09
372.94,27-01-2018,10
332.93,27-01-2018,11
321.36,27-01-2018,12
313.71,27-01-2018,13
308.51,27-01-2018,14
304.78,27-01-2018,15
306.84,27-01-2018,16
351.46,27-01-2018,17
319.98,27-01-2018,18
313.41,27-01-2018,19
294.19,27-01-2018,20
284.78,27-01-2018,21
281.35,27-01-2018,22
276.83,27-01-2018,23
275.95,28-01-2018,00
271.16,28-01-2018,01
262.94,28-01-2018,02
260.1,28-01-2018,03
261.38,28-01-2018,04
264.99,28-01-2018,05
268.32,28-01-2018,06
269.01,28-01-2018,07
272.82,28-01-2018,08
274.58,28-01-2018,09
280.55,28-01-2018,10
281.04,28-01-2018,11
280.45,28-01-2018,12
279.08,28-01-2018,13
275.75,28-01-2018,14
279.57,28-01-2018,15
281.92,28-01-2018,16
286.12,28-01-2018,17
286.71,28-01-2018,18
283.97,28-01-2018,19
281.72,28-01-2018,20
279.57,28-01-2018,21
273.5,28-01-2018,22
269.79,28-01-2018,23
270.67,29-01-2018,00
263.14,29-01-2018,01
255.8,29-01-2018,02
268.32,29-01-2018,03
271.35,29-01-2018,04
279.37,29-01-2018,05
291.21,29-01-2018,06
301.09,29-01-2018,07
302.26,29-01-2018,08
299.33,29-01-2018,09
298.94,29-01-2018,10
298.55,29-01-2018,11
297.47,29-01-2018,12
296.79,29-01-2018,13
296.79,29-01-2018,14
298.55,29-01-2018,15
299.33,29-01-2018,16
312.83,29-01-2018,17
327.11,29-01-2018,18
300.01,29-01-2018,19
291.21,29-01-2018,20
285.05,29-01-2018,21
280.45,29-01-2018,22
275.17,29-01-2018,23
273.59,30-01-2018,00
271.63,30-01-2018,01
268.11,30-01-2018,02
269.48,30-01-2018,03
272.8,30-01-2018,04
280.83,30-01-2018,05
304.21,30-01-2018,06
338.26,30-01-2018,07
327.01,30-01-2018,08
321.24,30-01-2018,09
322.22,30-01-2018,10
317.32,30-01-2018,11
